ID,Age,Canterburygroup,Group,Group2,Gender,Timestamp,Time_norm,phoneme,F1,F2,F1norm,F2norm
P01,34,,>30,28-50,M,733.4554605,0.5744077097,THOUGHT,399.7971353,881.7884156,-0.9204609182,-1.326273084
P01,34,26-35,>30,28-50,M,735.9192108,0.5763372028,TRAP,581.591791,1943.668514,0.6478273932,0.8414924813
P01,34,,>30,28-50,M,743.7484144,0.5824686655,NURSE,438.997273,1726.707125,-0.582293014,0.3985786074
P01,34,26-35,>30,28-50,M,748.602872,0.5862704477,TRAP,559.5046299,2019.018964,0.4572880374,0.9953159805
P01,34,,>30,28-50,M,750.5002689,0.5877563995,STRUT,620.8838922,1500,0.9867886387,-0.06423061136
P01,34,,>30,28-50,M,765.8198154,0.5997539454,STRUT,670.1243276,1500,1.411571199,-0.06423061136
P01,34,26-35,>30,28-50,M,766.8272285,0.6005429038,DRESS,381.8932481,1997.817736,-1.074912417,0.9520349238
P01,34,,>30,28-50,M,773.4701705,0.6057453426,FLEECE,367.1960361,2156.050097,-1.201700885,1.275056953
P01,34,26-35,>30,28-50,M,774.4793867,0.6065357131,DRESS,382.352608,2037.341156,-1.070949656,1.032719653
P01,34,26-35,>30,28-50,M,806.688639,0.6317604797,DRESS,384.1040406,2111.319572,-1.05584057,1.183742224
P01,34,26-35,>30,28-50,M,809.3074911,0.6338114412,TRAP,515.3077462,1912.767573,0.07601469434,0.7784100341
P01,34,,>30,28-50,M,810.8319611,0.6350053342,GOOSE,481.9511166,1474.286224,-0.2117430079,-0.1167237681
P01,34,,>30,28-50,M,811.8284024,0.6357857,FOOT,522.816069,1195.421096,0.1407867572,-0.6860104731
P01,34,26-35,>30,28-50,M,857.0704953,0.6712171725,TRAP,553.1842643,2032.739941,0.4027641271,1.023326545
P01,34,26-35,>30,28-50,M,861.7260907,0.6748632151,TRAP,536.2353265,2025.986491,0.2565506918,1.009539775
P01,34,26-35,>30,28-50,M,870.5858019,0.6818017229,TRAP,523.7644571,2125.454048,0.1489682182,1.212596924
